age,anciennete_mois,montant_mensuel,nombre_services,appels_support,score_satisfaction,type_contrat,contrat_mensuel,contrat_un_an,contrat_deux_ans,churn
71,58,76.94549775113165,3,1,5,mensuel,1,0,0,0
46,26,51.52753717933195,3,1,2,deux_ans,0,0,1,0
35,46,60.33265422472931,2,2,6,deux_ans,0,0,1,0
43,29,89.75144094968235,3,0,7,mensuel,1,0,0,0
61,4,41.782590805569725,3,1,8,mensuel,1,0,0,0
51,13,68.2948757492877,3,0,6,deux_ans,0,0,1,0
27,39,64.18963299928416,4,4,8,mensuel,1,0,0,0
53,15,79.01851430874206,2,2,7,mensuel,1,0,0,0
31,29,82.10306730964045,4,4,2,un_an,0,1,0,0
48,29,70.27678008497784,5,2,6,mensuel,1,0,0,0
65,32,57.792507068392005,4,1,9,mensuel,1,0,0,0
32,2,74.4674500805192,5,1,6,deux_ans,0,0,1,0
25,47,91.71311794289124,1,3,4,un_an,0,1,0,0
31,22,64.45420120720598,1,3,7,mensuel,1,0,0,1
40,27,59.65487771153947,5,1,3,mensuel,1,0,0,0
74,67,72.7634051533598,5,0,5,mensuel,1,0,0,0
57,56,65.77454040739224,4,2,1,un_an,0,1,0,0
38,21,38.245811521644015,5,3,10,mensuel,1,0,0,1
33,47,69.78661600794963,2,2,3,mensuel,1,0,0,0
62,59,38.06475182472472,1,0,8,deux_ans,0,0,1,0
35,6,72.48961292816891,1,0,9,mensuel,1,0,0,0
64,19,49.057145511868654,5,2,9,mensuel,1,0,0,0
70,57,65.73749608372692,3,0,10,mensuel,1,0,0,0
41,69,72.81187812398473,3,1,2,mensuel,1,0,0,0
43,3,114.07806691887143,5,1,4,mensuel,1,0,0,1
42,1,79.85499923573849,2,0,5,deux_ans,0,0,1,0
62,58,92.2959761948467,3,1,3,deux_ans,0,0,1,0
58,38,102.43495637387849,5,1,1,mensuel,1,0,0,0
46,15,74.78511833998888,2,2,6,mensuel,1,0,0,1
32,34,70.71379600534398,2,2,10,un_an,0,1,0,0
62,61,43.66557782347569,4,0,2,mensuel,1,0,0,0
18,35,62.66740135199211,2,3,9,mensuel,1,0,0,1
42,64,50.53824540728275,3,0,1,deux_ans,0,0,1,0
24,25,56.978822997512275,3,1,9,mensuel,1,0,0,0
26,24,102.41326752384937,5,2,7,mensuel,1,0,0,0
41,12,67.2924301839998,5,3,10,mensuel,1,0,0,1
18,18,47.48200844567783,2,0,2,mensuel,1,0,0,0
61,15,92.49066909382609,1,1,6,mensuel,1,0,0,1
25,27,84.10550952474898,4,1,8,mensuel,1,0,0,1
41,60,85.15306985200793,1,1,2,mensuel,1,0,0,1
28,46,24.87739593795211,2,1,5,un_an,0,1,0,0
68,17,103.9734191544297,2,1,6,mensuel,1,0,0,1
34,53,53.82970515812225,1,1,3,mensuel,1,0,0,1
25,8,80.5590954558551,4,3,2,un_an,0,1,0,0
52,27,115.47599581234064,1,0,6,deux_ans,0,0,1,0
52,46,108.10665496381235,5,2,3,mensuel,1,0,0,1
50,50,45.44875749054626,3,1,2,mensuel,1,0,0,0
22,71,36.10965325995454,5,1,1,mensuel,1,0,0,0
59,3,93.60693197695855,3,3,8,un_an,0,1,0,1
56,64,67.84111623188,2,2,1,mensuel,1,0,0,0
58,44,54.9823711739584,4,0,5,mensuel,1,0,0,1
45,53,77.42437093878095,1,0,6,mensuel,1,0,0,1
24,24,61.74240845081118,4,0,3,mensuel,1,0,0,0
26,60,79.02648274097487,1,1,7,mensuel,1,0,0,0
25,3,66.33963615637465,5,1,2,mensuel,1,0,0,1
29,20,79.44775856656334,5,3,7,un_an,0,1,0,0
51,46,47.10934621727223,1,1,2,un_an,0,1,0,0
50,15,93.48924026265269,4,1,5,mensuel,1,0,0,0
65,25,78.95246741464877,1,2,7,mensuel,1,0,0,0
72,71,77.92594738807145,2,2,3,mensuel,1,0,0,0
40,17,42.64660145976012,5,1,4,mensuel,1,0,0,0
41,9,98.99264833288494,2,3,1,deux_ans,0,0,1,0
54,38,64.72567801267463,5,0,3,deux_ans,0,0,1,0
52,48,79.56097724859683,5,2,9,mensuel,1,0,0,0
61,60,58.543510725067826,3,3,10,mensuel,1,0,0,0
57,63,70.21778129364195,2,3,5,mensuel,1,0,0,0
39,2,70.94254704238809,2,2,8,un_an,0,1,0,0
44,11,20.0,3,2,2,un_an,0,1,0,0
52,64,76.64896249309662,4,3,3,un_an,0,1,0,0
18,21,104.3068292344417,2,1,7,un_an,0,1,0,0
52,18,75.79560517983914,1,0,10,mensuel,1,0,0,0
54,64,45.845835022205236,3,1,4,un_an,0,1,0,0
64,38,77.99923132307774,2,1,9,un_an,0,1,0,0
31,32,86.18961060346678,4,1,7,mensuel,1,0,0,0
20,11,75.24933032380774,2,3,1,mensuel,1,0,0,0
18,45,63.517457871399124,5,0,4,un_an,0,1,0,0
22,33,60.157015483521384,1,2,10,un_an,0,1,0,0
43,41,60.07380489266386,3,1,6,un_an,0,1,0,0
72,8,78.95553802022425,5,2,6,un_an,0,1,0,0
31,11,36.85752009880744,4,0,10,un_an,0,1,0,0
56,51,57.56253678289187,5,0,6,un_an,0,1,0,0
44,41,96.91219646021896,5,2,5,mensuel,1,0,0,0
26,17,97.68390533154351,4,0,3,un_an,0,1,0,0
32,46,35.43705824396676,5,2,2,mensuel,1,0,0,1
32,32,42.37172777472782,3,1,3,mensuel,1,0,0,0
43,54,59.58758840944127,2,2,9,mensuel,1,0,0,0
59,20,82.85179034228705,5,2,3,un_an,0,1,0,0
30,33,28.45051291894019,3,1,3,un_an,0,1,0,0
68,40,63.90382730165044,2,2,1,deux_ans,0,0,1,0
49,32,55.5164168684071,2,0,2,mensuel,1,0,0,0
56,2,91.51929348570468,5,0,3,mensuel,1,0,0,0
66,33,31.46183052061491,3,1,2,mensuel,1,0,0,0
69,30,66.85081230987245,5,2,8,mensuel,1,0,0,1
49,33,57.12781125302813,4,1,6,un_an,0,1,0,0
21,26,94.39597852554576,2,0,7,mensuel,1,0,0,0
47,22,76.95305292706499,5,1,1,un_an,0,1,0,0
54,66,53.283686814845304,2,1,6,un_an,0,1,0,1
40,38,82.06772886658165,3,1,2,mensuel,1,0,0,0
56,46,57.22342293382852,1,0,6,deux_ans,0,0,1,0
62,15,84.98659422479507,5,0,3,mensuel,1,0,0,0
32,44,60.25846018228844,5,1,7,mensuel,1,0,0,0
60,49,86.09333157537526,2,1,3,deux_ans,0,0,1,0
46,61,73.721639102545,3,0,9,deux_ans,0,0,1,0
53,67,130.0,4,1,3,mensuel,1,0,0,0
30,6,63.94207989167991,3,0,7,mensuel,1,0,0,0
49,9,72.65724583242897,5,1,4,mensuel,1,0,0,0
24,6,55.411505165681376,4,2,8,mensuel,1,0,0,0
68,32,65.05370681509558,3,1,2,deux_ans,0,0,1,0
39,41,20.0,1,2,8,un_an,0,1,0,0
45,8,74.31168033082064,2,4,9,mensuel,1,0,0,0
19,50,91.85748425898824,3,1,8,deux_ans,0,0,1,0
59,62,72.93260009198708,3,1,6,mensuel,1,0,0,0
62,62,38.722770840452455,1,2,10,mensuel,1,0,0,0
74,7,48.964256945819976,5,2,1,deux_ans,0,0,1,0
70,4,20.0,2,1,7,un_an,0,1,0,0
23,6,84.57848013730847,3,1,1,un_an,0,1,0,1
45,58,44.869734145808394,4,2,7,mensuel,1,0,0,0
45,22,64.42582819575544,3,2,2,un_an,0,1,0,0
61,26,61.925248553455596,2,2,8,mensuel,1,0,0,0
61,3,94.75454071316534,3,0,2,un_an,0,1,0,0
37,41,66.70562635931478,1,1,3,deux_ans,0,0,1,0
47,60,81.1778584021202,3,2,3,mensuel,1,0,0,1
28,14,75.92927528295326,3,3,1,un_an,0,1,0,1
72,12,92.188228399228,4,1,5,mensuel,1,0,0,1
45,12,60.21752610994083,1,2,5,mensuel,1,0,0,1
42,13,102.39230661009034,1,0,10,un_an,0,1,0,1
56,25,25.286756872013697,3,1,5,mensuel,1,0,0,0
50,45,82.14946996002472,4,3,9,un_an,0,1,0,0
18,19,47.66760782671736,3,0,6,mensuel,1,0,0,0
74,55,55.14500894440095,3,2,6,deux_ans,0,0,1,0
44,45,76.38828533802071,2,1,3,mensuel,1,0,0,0
74,8,76.22804099695486,2,3,5,mensuel,1,0,0,1
69,53,77.12856027380143,4,0,10,mensuel,1,0,0,0
30,55,37.27684111789524,5,2,7,deux_ans,0,0,1,0
58,32,93.9806046255848,2,1,3,un_an,0,1,0,0
20,51,46.98705763544649,5,0,2,un_an,0,1,0,0
56,44,49.65425819549601,1,1,5,mensuel,1,0,0,0
23,70,77.75793476333658,2,2,3,mensuel,1,0,0,0
25,18,59.26557650477519,2,2,5,mensuel,1,0,0,0
44,22,71.16521681124983,4,1,9,un_an,0,1,0,0
26,37,21.86798606734424,5,0,10,mensuel,1,0,0,0
54,56,70.68648899038463,2,0,1,deux_ans,0,0,1,0
50,59,69.3566375902443,2,1,4,un_an,0,1,0,0
68,3,54.80282924471433,4,3,10,mensuel,1,0,0,1
59,28,23.51848080470421,4,1,5,mensuel,1,0,0,0
61,35,60.743834770367904,5,0,2,un_an,0,1,0,0
41,61,64.25252280402773,1,0,2,mensuel,1,0,0,0
32,54,57.6554201933901,1,2,1,mensuel,1,0,0,0
71,63,28.276510711350042,3,0,8,mensuel,1,0,0,0
49,7,96.89468014633832,2,1,2,un_an,0,1,0,1
49,49,52.22276944111254,5,4,3,un_an,0,1,0,0
41,31,60.55590674154198,2,2,2,mensuel,1,0,0,1
58,58,20.0,5,0,4,mensuel,1,0,0,0
69,61,96.89710697396414,5,2,1,mensuel,1,0,0,0
66,24,55.66900136531888,5,2,3,un_an,0,1,0,0
66,20,66.96925634148405,2,4,5,mensuel,1,0,0,0
69,37,87.41474889633302,4,1,10,mensuel,1,0,0,1
29,4,51.47391590566748,2,1,1,deux_ans,0,0,1,1
56,20,84.26489974773088,5,0,4,deux_ans,0,0,1,0
19,60,23.773490881177167,3,1,6,deux_ans,0,0,1,0
20,24,76.01973315142627,1,0,4,un_an,0,1,0,0
66,50,96.44484333039306,5,4,7,mensuel,1,0,0,0
54,49,53.391663055639405,3,1,7,mensuel,1,0,0,0
66,51,87.37763240596797,4,0,6,mensuel,1,0,0,0
73,36,101.67845304387566,5,2,9,mensuel,1,0,0,0
34,66,59.90316323891962,3,2,2,deux_ans,0,0,1,0
66,34,58.249434283002785,5,0,10,un_an,0,1,0,0
19,36,47.03412508335392,2,3,8,un_an,0,1,0,0
19,6,54.80539689629733,3,1,8,mensuel,1,0,0,0
45,39,48.692802194547596,2,0,10,deux_ans,0,0,1,0
71,42,47.01777803145546,2,2,4,un_an,0,1,0,0
40,58,88.97670593422713,3,0,6,mensuel,1,0,0,0
54,12,49.2014794942348,1,2,6,deux_ans,0,0,1,0
49,3,70.17043829439245,3,1,5,mensuel,1,0,0,1
50,18,65.76466870432476,1,1,1,mensuel,1,0,0,0
18,40,94.96189125142246,5,0,3,un_an,0,1,0,0
36,21,54.93687535889973,5,1,7,un_an,0,1,0,0
19,15,72.62296093308645,3,2,8,mensuel,1,0,0,1
70,26,80.82139404552218,5,1,2,mensuel,1,0,0,0
61,8,94.79499214641163,4,4,3,deux_ans,0,0,1,0
43,42,54.644933099094665,2,0,4,un_an,0,1,0,0
49,44,52.64215062535239,2,3,5,un_an,0,1,0,1
23,14,43.76437892079895,1,3,3,mensuel,1,0,0,1
49,2,109.72599241696481,5,1,5,mensuel,1,0,0,1
72,37,92.68944876360776,1,2,8,mensuel,1,0,0,0
21,69,64.15597211375913,2,1,8,mensuel,1,0,0,0
72,38,103.62878302254113,2,0,2,mensuel,1,0,0,0
28,41,62.96273211268686,5,0,6,mensuel,1,0,0,1
73,62,79.48820942867059,4,1,4,un_an,0,1,0,0
34,60,65.20343803445441,4,1,9,mensuel,1,0,0,0
55,14,72.95610903500942,5,0,10,un_an,0,1,0,1
41,2,70.83522885067094,5,2,2,mensuel,1,0,0,0
22,70,56.50029253246701,1,1,8,mensuel,1,0,0,0
69,17,86.84997076170706,5,0,1,mensuel,1,0,0,0
51,28,79.31904835367803,4,0,6,mensuel,1,0,0,1
23,66,85.55389187002957,5,0,10,mensuel,1,0,0,0
39,35,71.40454370998692,1,4,1,deux_ans,0,0,1,0
28,5,46.86860236445732,1,2,2,un_an,0,1,0,0
65,65,99.18772133115405,1,3,3,mensuel,1,0,0,0
33,40,59.748875328651486,1,1,9,mensuel,1,0,0,0
50,56,72.28134057136829,3,2,5,un_an,0,1,0,0
26,36,77.70762717644538,5,3,10,un_an,0,1,0,1
23,45,72.14843432435238,2,3,10,mensuel,1,0,0,0
33,23,83.30834042460549,5,0,2,un_an,0,1,0,0
46,47,86.46755844632997,3,0,10,un_an,0,1,0,0
20,31,60.50332993905504,1,3,5,un_an,0,1,0,0
37,11,97.50934683911294,3,0,5,un_an,0,1,0,0
53,10,59.6619289167747,4,2,1,deux_ans,0,0,1,1
36,67,71.73498097761576,4,2,3,deux_ans,0,0,1,0
43,14,57.24643632791537,5,2,5,mensuel,1,0,0,1
20,10,51.5305295469842,5,3,9,un_an,0,1,0,0
36,1,85.8838217758173,2,1,10,un_an,0,1,0,0
37,5,127.4379379485209,2,3,1,un_an,0,1,0,0
49,20,57.764802233593656,4,0,8,deux_ans,0,0,1,0
24,8,89.30643149356158,1,0,1,mensuel,1,0,0,0
69,43,58.481773745996115,3,3,9,mensuel,1,0,0,0
58,1,64.79030046287991,2,0,6,mensuel,1,0,0,0
50,57,100.15167544463344,2,1,1,mensuel,1,0,0,1
57,64,43.52929429849388,1,1,8,mensuel,1,0,0,0
56,28,38.236818627537545,1,1,5,un_an,0,1,0,0
35,37,63.256027024737016,5,3,7,mensuel,1,0,0,0
57,47,78.27312055875349,3,1,7,un_an,0,1,0,0
18,37,74.27333143361764,1,2,7,un_an,0,1,0,0
28,49,72.21358351385992,2,0,6,mensuel,1,0,0,0
45,44,65.68263963023156,2,2,8,mensuel,1,0,0,0
74,56,80.73080053967838,4,1,9,un_an,0,1,0,1
42,28,20.0,1,0,2,un_an,0,1,0,0
67,6,49.983893898245185,5,1,7,deux_ans,0,0,1,0
40,61,63.12775181433104,3,2,2,deux_ans,0,0,1,0
48,20,79.09069598205019,5,1,6,deux_ans,0,0,1,0
47,2,94.79530280137132,2,1,2,un_an,0,1,0,1
59,37,47.2980058366572,5,1,10,deux_ans,0,0,1,0
52,20,94.14157251073135,2,2,6,un_an,0,1,0,0
24,26,55.948766615972744,2,2,2,deux_ans,0,0,1,0
33,29,62.40180434038628,2,0,1,mensuel,1,0,0,0
43,1,76.62865037595228,2,1,7,deux_ans,0,0,1,1
65,35,60.935278413864545,2,1,3,mensuel,1,0,0,0
74,70,87.20235213332636,4,1,4,un_an,0,1,0,0
69,59,56.907917097737126,5,2,6,mensuel,1,0,0,0
66,69,57.20930017439332,4,1,5,mensuel,1,0,0,0
19,33,86.03959908418665,4,2,4,mensuel,1,0,0,1
18,51,49.737512234646836,1,1,9,mensuel,1,0,0,0
65,12,69.9785819063332,1,1,6,mensuel,1,0,0,0
29,20,31.790346646123517,1,3,6,un_an,0,1,0,0
22,53,101.39278704122381,3,1,2,mensuel,1,0,0,0
54,43,89.1310387247355,1,0,6,mensuel,1,0,0,0
49,50,120.0021439916151,5,3,7,mensuel,1,0,0,0
72,29,91.76727462892771,4,1,8,un_an,0,1,0,0
26,57,42.406995407990365,5,1,8,mensuel,1,0,0,0
58,39,78.37299720321184,1,2,9,mensuel,1,0,0,0
52,56,46.63982475556391,3,1,10,mensuel,1,0,0,0
36,43,96.56075014106197,3,2,3,un_an,0,1,0,0
65,50,42.977194240448554,4,2,10,mensuel,1,0,0,0
33,23,42.01690231520405,5,0,7,mensuel,1,0,0,0
20,44,32.803770926066264,2,1,7,mensuel,1,0,0,0
37,38,55.23240357473997,5,1,1,deux_ans,0,0,1,1
41,23,51.21044350432857,1,0,8,mensuel,1,0,0,0
71,45,39.76701788321469,2,0,4,un_an,0,1,0,0
73,52,104.79618208487048,3,2,5,mensuel,1,0,0,1
50,50,75.5976139277329,4,0,6,mensuel,1,0,0,0
41,8,73.24469079713424,4,2,3,mensuel,1,0,0,0
69,1,96.78328838495852,3,0,5,mensuel,1,0,0,0
28,8,70.1251558408587,1,0,10,mensuel,1,0,0,0
66,29,50.02639596989721,3,0,5,mensuel,1,0,0,0
25,5,30.995805149646863,1,0,1,mensuel,1,0,0,0
53,47,48.89885215313193,2,1,3,un_an,0,1,0,0
55,34,95.10831201016924,3,1,3,deux_ans,0,0,1,1
57,65,39.893277686276804,1,3,1,mensuel,1,0,0,1
37,55,72.06254475995753,2,1,7,un_an,0,1,0,0
52,43,85.67850286171115,3,4,1,deux_ans,0,0,1,0
65,30,70.70689680886504,4,1,7,un_an,0,1,0,0
42,17,72.97966657581166,3,0,4,mensuel,1,0,0,0
52,26,78.11207825746853,5,1,9,un_an,0,1,0,0
42,8,72.58561743645299,3,1,7,mensuel,1,0,0,0
46,47,97.18148344946565,5,2,5,mensuel,1,0,0,0
35,46,44.194165435447786,2,2,7,mensuel,1,0,0,0
63,68,69.80849753677572,3,1,9,mensuel,1,0,0,0
35,33,28.635191320057046,2,3,10,mensuel,1,0,0,0
19,1,23.52507625626926,2,1,6,mensuel,1,0,0,0
71,19,63.366579382960325,1,0,1,un_an,0,1,0,0
52,31,75.86759137889514,2,1,6,mensuel,1,0,0,0
33,14,97.6133555447513,2,2,1,mensuel,1,0,0,0
58,53,113.39583466020926,3,1,4,mensuel,1,0,0,0
53,48,91.39721341330961,3,1,8,mensuel,1,0,0,0
50,69,79.54331488796058,4,0,5,un_an,0,1,0,0
21,62,68.19929711547631,1,0,5,deux_ans,0,0,1,0
50,66,34.375438736332455,2,0,10,mensuel,1,0,0,0
31,64,62.079267885164036,1,0,8,mensuel,1,0,0,0
38,70,90.80753502516451,5,1,8,deux_ans,0,0,1,0
65,63,82.96563712056081,2,1,1,mensuel,1,0,0,1
37,33,39.273317066341036,1,1,5,deux_ans,0,0,1,0
73,41,77.2805129451696,4,0,5,mensuel,1,0,0,0
25,48,75.5678562373544,4,1,8,mensuel,1,0,0,0
24,13,71.99780240229475,2,4,1,mensuel,1,0,0,1
20,31,64.44288889245331,5,2,7,mensuel,1,0,0,0
34,68,78.31167933888386,4,0,7,mensuel,1,0,0,0
50,4,78.94626077824798,4,2,9,deux_ans,0,0,1,0
65,19,52.17082469137189,5,0,2,un_an,0,1,0,0
29,70,74.10028122764191,1,1,3,un_an,0,1,0,0
68,13,61.212097185055725,4,1,4,un_an,0,1,0,1
39,23,35.25532264507514,3,1,1,mensuel,1,0,0,0
72,1,53.767859299236726,4,2,7,un_an,0,1,0,0
39,54,33.726206293091494,1,3,10,mensuel,1,0,0,0
63,71,84.60187070140209,1,2,3,un_an,0,1,0,0
47,15,72.11778755108638,2,0,3,mensuel,1,0,0,1
55,65,57.890187775881095,3,1,3,un_an,0,1,0,0
55,71,93.41042686577296,1,0,8,deux_ans,0,0,1,0
62,15,66.35981815162333,5,1,9,mensuel,1,0,0,0
68,21,36.37554488066251,3,2,10,mensuel,1,0,0,0
71,19,56.21042919632378,3,2,2,mensuel,1,0,0,0
25,60,97.65708374546584,5,0,10,mensuel,1,0,0,0
44,33,51.61048749821713,4,0,10,un_an,0,1,0,0
44,49,70.5044257751566,5,1,1,deux_ans,0,0,1,0
51,35,79.87753249029277,5,0,9,mensuel,1,0,0,0
38,44,76.79896969109885,4,0,6,mensuel,1,0,0,0
47,11,113.989195979162,4,2,9,un_an,0,1,0,0
50,66,41.47393486153462,4,0,6,mensuel,1,0,0,0
45,46,43.470738389343936,4,0,2,mensuel,1,0,0,0
64,9,41.80491105795734,4,2,1,deux_ans,0,0,1,0
50,3,59.0816315796623,5,2,8,un_an,0,1,0,1
22,26,86.98754776364902,2,3,3,mensuel,1,0,0,1
65,48,44.36530840406978,2,1,1,mensuel,1,0,0,0
36,66,87.26721011887878,1,2,8,un_an,0,1,0,0
21,70,65.70253339855473,2,1,1,un_an,0,1,0,0
52,28,42.82006613578153,2,2,8,un_an,0,1,0,0
66,26,29.97260086864287,5,1,1,mensuel,1,0,0,0
34,25,34.448590123813474,4,3,9,deux_ans,0,0,1,1
61,12,51.68293183532152,4,1,9,un_an,0,1,0,0
45,5,61.61697648513359,5,1,9,un_an,0,1,0,0
47,48,91.92125953460902,2,4,3,un_an,0,1,0,1
46,37,80.98176424376477,5,0,4,mensuel,1,0,0,0
63,44,48.22117495839396,1,2,5,deux_ans,0,0,1,0
70,15,73.17330566744337,4,2,6,mensuel,1,0,0,0
23,43,98.0309253838448,3,1,9,mensuel,1,0,0,0
52,48,102.47834842060071,1,4,4,un_an,0,1,0,0
58,70,58.71187976892807,1,2,6,un_an,0,1,0,0
54,46,84.16576859410003,5,4,1,un_an,0,1,0,0
41,43,92.79910733775648,2,0,2,mensuel,1,0,0,0
46,21,34.85856153643226,4,1,8,mensuel,1,0,0,1
66,23,54.75185825680606,3,3,4,deux_ans,0,0,1,0
63,47,109.40037468846526,1,3,10,mensuel,1,0,0,0
70,15,58.97927779758192,3,1,7,deux_ans,0,0,1,0
48,25,20.0,2,0,4,mensuel,1,0,0,0
52,36,62.58076379226555,2,1,9,un_an,0,1,0,1
50,51,87.49250998231724,3,2,9,mensuel,1,0,0,1
69,15,65.13020873601792,4,2,4,un_an,0,1,0,0
38,68,79.30727893601268,2,2,8,deux_ans,0,0,1,0
49,21,83.76443995311463,3,1,6,mensuel,1,0,0,0
40,13,57.90125097135436,1,1,1,un_an,0,1,0,0
50,19,54.61214027171248,3,3,7,un_an,0,1,0,0
20,34,68.06881951908544,3,3,1,un_an,0,1,0,0
35,68,68.55557845859762,5,2,3,deux_ans,0,0,1,0
42,52,66.08153639693943,2,3,8,mensuel,1,0,0,0
59,27,66.90313045364928,4,2,9,mensuel,1,0,0,0
48,29,50.02907730758524,4,2,3,mensuel,1,0,0,0
71,28,80.00573820161895,5,1,1,mensuel,1,0,0,1
20,35,76.98463894225932,4,0,1,mensuel,1,0,0,0
57,8,38.27983266729084,3,1,7,un_an,0,1,0,0
63,16,57.21675365828066,5,2,5,mensuel,1,0,0,0
41,36,66.86159745078893,1,3,1,mensuel,1,0,0,0
67,30,54.31373995447651,2,2,6,mensuel,1,0,0,1
49,18,77.74743955175587,2,1,6,un_an,0,1,0,0
64,2,63.662349230857245,2,1,4,un_an,0,1,0,0
39,49,68.38145058910374,3,0,7,mensuel,1,0,0,0
40,4,56.98581385033853,1,0,7,deux_ans,0,0,1,0
19,7,25.135623531787708,5,3,9,mensuel,1,0,0,0
44,39,23.99303356875101,5,1,1,deux_ans,0,0,1,0
59,13,76.79219093384054,2,2,5,un_an,0,1,0,0
19,31,70.33824152978788,1,2,10,mensuel,1,0,0,1
43,71,73.7732441270217,1,1,3,un_an,0,1,0,0
34,63,67.68945684125826,1,1,7,un_an,0,1,0,0
